,date,morning,night,food0,food1,food2,food3,food4,food5,food6,food7,food8,food9,alcohol,vegetables,fruits,fats,starches
102,2016-04-06 00:00:00,203.0,202.0,Apple/Orange/Whole Wheat English Muffin,,,Veggies/Ranch/Roasted Chicken,,Half English Muffin,,Chipotle Chicken Corn Chowder,Spring Mix,Chips,0.0,3.5,2.0,1.0,2.0
103,2016-04-07 00:00:00,200.0,203.0,Apple/Orange/Whole Wheat English Muffin,,,Veggies/Ranch/Roasted Chicken,Half English Muffin,,,Chipotle Chicken Corn Chowder,Sloppy Joe,Chips/Salsa,0.0,2.5,2.0,1.5,3.5
104,2016-04-08 00:00:00,201.0,202.0,Apple/Orange/Whole Wheat English Muffin (1.5),,,Chipotle Chicken Wrap/Veggies/Hummus,,,,Veggies/Hummus,Chips Salsa,,0.0,5.0,2.5,1.5,3.0
105,2016-04-09 00:00:00,201.0,204.0,Red Pepper/Onion/Egg/Orange,,,Half Italian Turkey Wrap,,,Apple,Chips Salsa/Carne Asada Burrito,,Red Pepper/Onion,2.0,2.0,2.0,1.5,2.0
106,2016-04-10 00:00:00,201.0,201.0,Apple,Donut Holes,,Chipotle Chicken Corn Chowder,,Veggies,Orange,Luau Chicken Salad,,,1.0,4.5,2.0,1.5,1.5
107,2016-04-11 00:00:00,200.0,202.0,Whole Wheat Bagel,,,Salmon/Veggies/Rice,,,Pub Grub,Red Curry,,,3.0,1.5,0.0,1.5,3.0
108,2016-04-12 00:00:00,200.0,201.0,Whole Wheat Bagel,,,Half Italian Turkey Wrap/Veggies/Ranch,,,,Sukiyaki/Spinach Salad,Bite of brownie/ice cream,,0.0,4.5,0.0,1.5,3.0
109,2016-04-13 00:00:00,200.0,202.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken,Bagel,,,Arugula Spinach Salad/Chips Salsa,,Chips Salsa,1.0,4.5,3.0,1.0,3.0
110,2016-04-14 00:00:00,199.0,200.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken,Bagel,,,Arugula Spinach Salad/Chips Salsa,,,0.0,4.5,2.0,1.0,2.0
111,2016-04-15 00:00:00,199.0,200.0,Apple/Orange,,,Veggies/Hummus/Roasted Chicken,,Veggies/Hummus,,Un Bien Caribbean Roast Sandwich,,Half Apple,2.0,4.0,2.5,1.0,1.0
112,2016-04-16 00:00:00,198.0,202.0,Apple/Orange,,,Gyro Salad,,,Carrots,Southwest Chicken Salad,,,2.0,4.0,2.0,2.0,2.0
113,2016-04-17 00:00:00,198.0,200.0,Donut Holes,,,Lettuce/Green Pepper/Broccoli/Chicken,,Carrots/Chips Salsa,,Apple/Orange,,Egg/Whole Wheat English Muffin,0.0,3.5,2.5,2.5,3.0
114,2016-04-18 00:00:00,198.0,201.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken,Whole Wheat English Muffin,,,Apple Pecan Chicken Salad,Chips Salsa,Graham Cracker Peanut Butter,0.0,4.5,2.5,1.5,2.25
115,2016-04-19 00:00:00,198.0,200.0,Apple/Orange,,,Arugula Spinach Salad/Carrots/Roasted Chicken,,1.5 Whole Wheat English Muffin,Carrots,Burger/Chips/Bite of Hot Dog,,,2.0,4.5,2.0,2.5,2.5
116,2016-04-20 00:00:00,198.0,198.0,Apple/Orange,,Half Whole Wheat English Muffin,Arugula Spinach Salad/Chipotle Chicken Corn Chowder,,Whole Wheat English Muffin,Nuts,Pork Ramen,,,2.0,2.0,2.0,2.5,2.5
117,2016-04-21 00:00:00,197.0,197.0,Apple/3 Cheese Quiche,,,JJ Vito Italian Sandwich,,,,Carrots/Peas/Steak,,,1.0,3.5,1.0,1.5,1.0
118,2016-04-22 00:00:00,197.0,197.0,Apple/Orange/Whole Wheat English Muffin,,,Spinach Salad/Chicken,Chipotle Chicken Corn Chowder,,,Spinach Orange Salad/Chips Salsa,,,3.0,2.0,2.5,2.0,2.0
119,2016-04-23 00:00:00,195.0,197.0,Apple/Eggs/Onion,,Chips?,Veggies/Ranch,Nuts,,,Lettuce/Chicken Pineapple Salsa,Veggies/Ranch/Chips Salsa,Graham Cracker Peanut Butter,0.0,3.0,2.0,1.75,1.25
